pair,arm,startup,dispatch,warm build,repro,rebuild,full lit,teardown,end_to_end,rss_mib,process_count,cpu_seconds
0,docker,15.63847986003384,0.678536179009825,22.340910119004548,0.08266717498190701,0.09409398201387376,5.560184187022969,41.99784934008494,86.3927208421519,493.55078125,7,3.96
0,bwrap,20.820790174999274,0.6365386910038069,21.818640019977465,0.11322329891845584,0.07278724701609462,4.857011348940432,7.73162393597886,56.05061471683439,498.19921875,9,3.89
1,docker,14.897705337032676,0.8010317180305719,20.916125057963654,0.040606736089102924,0.0844075339846313,4.996094269910827,41.7648065231042,83.50077717611566,493.4921875,7,3.95
1,bwrap,19.63121930207126,0.7144524900941178,20.425297550973482,0.05387217493262142,0.08152015297673643,4.931965418043546,8.04249619494658,53.88082328403834,497.75,9,4.07
2,docker,15.078538025030866,0.7844854909926653,21.004873092053458,0.036726085003465414,0.0744543910259381,4.307264017057605,41.24208710598759,82.52842820715159,492.8046875,7,3.89
2,bwrap,19.81320145702921,0.6692025270313025,20.765587178990245,0.03910057002212852,0.07196138997096568,4.898340084939264,8.060682798037305,54.31807600602042,497.3203125,9,3.97
3,docker,13.303473446983844,0.628777344012633,19.114967812085524,0.046339437016285956,0.10526933695655316,5.502910597017035,41.12341629900038,79.82515427307226,493.3515625,7,3.44
3,bwrap,17.587957446929067,0.5467343619093299,16.81865063100122,0.036611604038625956,0.06624667695723474,3.4592717989580706,7.268034572014585,45.78350709180813,499.60546875,9,3.16
4,docker,13.797572972951457,0.6601992300711572,19.985280264983885,0.040857039974071085,0.08056625304743648,4.177619328955188,41.61813594098203,80.36023103096522,493.07421875,7,3.68
4,bwrap,19.411519567947835,0.6518722650362179,19.545095051988028,0.040742583107203245,0.07223995600361377,4.16764299897477,7.641798061900772,51.53091048495844,498.87109375,9,3.73
5,docker,14.611179818981327,0.6475267650093883,19.574350497918203,0.04033483506646007,0.0800661159446463,4.140556080965325,41.83211250300519,80.92612661689054,493.8046875,7,3.6
5,bwrap,19.371490087010898,0.6595864039845765,19.3785244950559,0.04030266706831753,0.07776138198096305,4.22205235704314,7.934823308954947,51.68454070109874,497.546875,9,3.74
6,docker,14.850637241033837,0.6626926469616592,19.4023681380786,0.040863111964426935,0.08111820102203637,4.243862167000771,41.63926026306581,80.92080176912714,493.25390625,7,3.64
6,bwrap,19.474077885970473,0.6531610159436241,19.525947071961127,0.0460904740029946,0.10331252205651253,5.923750144080259,8.342743395944126,54.06908250995912,498.8828125,10,3.82
7,docker,15.146466413978487,0.7492928559659049,22.260186329949647,0.03554314002394676,0.08208612992893904,5.187622372061014,42.03411646489985,85.49531370680779,492.77734375,7,4.2
7,bwrap,19.248394489986822,0.6446233500028029,20.233043923974037,0.04119094798807055,0.07376030401792377,4.990004578023218,7.755624086013995,52.98664168000687,498.15234375,9,3.82
8,docker,15.639245350961573,0.747523196041584,21.240490123978816,0.04060613003093749,0.07961876201443374,4.824958660057746,41.98672970500775,84.55917192809284,492.80859375,7,4.01
8,bwrap,19.601509560947306,0.6811908700037748,20.872134512057528,0.03770667698699981,0.06669018091633916,4.943985776975751,8.142346392967738,54.34556397085544,499.1875,10,3.9
9,docker,15.073452954995446,0.8950752899982035,21.80778969207313,0.04074192501138896,0.07824548403732479,4.418129079975188,41.99943006702233,84.31286449311301,492.203125,7,4.51
9,bwrap,21.30907484900672,0.6427118770079687,23.417234420077875,0.06510226998943835,0.07843717106152326,6.497606816003099,9.830306209041737,61.84047361218836,498.3046875,9,4.3
