source,run_id,retries,status,has_token_counts
results_jsonl,atlas-npu_b6_r1_mxu_r1_sonnet.452f1fdc,0,parse_fail,yes
results_jsonl,atlas-npu_b7_r1_mxu_r1_sonnet.bff1e8b3,0,parse_fail,yes
results_jsonl,atlas-npu_b2r_r1_mxu_r1.4f4c2f19,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r1_v1_tce.c858d3e6,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r1.be257d46,0,verify_fail,yes
results_jsonl,atlas-npu_b2r_r1_mxu_r1_v1_tce.766b86da,0,verify_fail,yes
results_jsonl,atlas-npu_b2r_r1_mxu_r1_haiku.b352235a,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r1_opus.2d833e6b,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r1_sonnet.d90f5df7,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r1_tiered.69a0e111,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r1_v2_kappa.ed2f7dfd,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r2_haiku.b3da5251,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r2_opus.b8764446,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r2_sonnet.4792e5a0,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r2_tiered.33c1229d,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r2_v2_kappa.fd423ae5,0,verify_fail,no
results_jsonl,atlas-npu_b2r_r1_mxu_r3_haiku.9a64ac5b,0,blocked,no
results_jsonl,atlas-npu_b2r_r1_mxu_r3_opus.0c335472,0,blocked,no
results_jsonl,atlas-npu_b2r_r1_mxu_r3_sonnet.39fff8a3,0,blocked,no
results_jsonl,atlas-npu_b2r_r1_mxu_r3_tiered.ce2137d3,0,blocked,no
results_jsonl,atlas-npu_b2r_r1_mxu_r3_v2_kappa.44144305,0,verify_fail,no
results_jsonl,atlas-npu_b3_r1_mxu_r1_sonnet.534428fe,0,blocked,no
