point,t_s,cum_input_tokens,cum_output_tokens,cum_cache_read_tokens,cum_cache_creation_tokens,cum_cache_tokens,cum_cost_usd
0,0.0,10,78,14043,4881,18924,0.008391550000000001
1,3.88350248336792,20,155,29642,8206,37848,0.014988700000000002
2,7.9164817333221436,30,233,45241,11531,56772,0.02159085
3,11.723604679107666,40,305,60840,14856,75696,0.027677
4,15.635769605636597,50,383,76439,18181,94620,0.03427915
5,19.644911289215088,60,460,92038,21506,113544,0.040876300000000004
6,24.15189290046692,70,538,107637,24831,132468,0.047478450000000005
7,28.057165145874023,80,616,123236,28156,151392,0.054080600000000006
