run_id,model,source,four_class_usd,two_class_usd,ratio,cache_read_tokens,cache_creation_tokens
aetrun_5462e4f03aa4_5bcd68_005,claude-opus-4-6,aet_run,0.437801,0.41179,0.9406,13370,68941
aetrun_c4e99b4c1fb1_009,claude-opus-4-8,aet_run,1.275371,1.20237,0.9428,13190,66951
aetrun_32e740606bdc_002,claude-opus-4-8,aet_run,1.273481,1.200885,0.943,13192,66850
aetrun_514f6e2ceebb_008,claude-opus-4-8,aet_run,1.271902,1.19967,0.9432,13190,66746
atlas-npu_b3_r1_mxu_r3_sonnet.7ea5ce63,claude-sonnet-4-6,results_jsonl,2.25498,2.129091,0.9442,0,167852
atlas-npu_b4_r1_mxu_r2_sonnet.e2570a32,claude-sonnet-4-6,results_jsonl,6.235423,5.88807,0.9443,0,463138
aetrun_37422f49724e_007,claude-opus-4-8,aet_run,1.258537,1.18893,0.9447,13192,66053
aetrun_11b55495c421_450ab4_002,claude-sonnet-4-6,aet_run,0.246474,0.232962,0.9452,12945,64618
atlas-npu_b3_r1_mxu_r2_sonnet.7e9eb3ac,claude-sonnet-4-6,results_jsonl,1.611626,1.53027,0.9495,0,108475
atlas-npu_b3_r1_mxu_r1_sonnet.534428fe,claude-sonnet-4-6,results_jsonl,1.672736,1.59138,0.9514,0,108475
atlas-npu_b2r_r1_mxu_r1_opus.2d833e6b,claude-opus-4-6,results_jsonl,4.680109,4.464275,0.9539,26740,268931
atlas-npu_b5_r1_mxu_r1_sonnet.c3ac5d15,claude-sonnet-4-6,results_jsonl,2.038668,1.946067,0.9546,12939,170048
atlas-npu_b4_r1_mxu_r1_sonnet.43df8659,claude-sonnet-4-6,results_jsonl,3.103205,2.965485,0.9556,12943,230222
,claude-haiku-4-5-20251001,results_jsonl,0.111502,0.106704,0.957,0,19190
atlas-npu_b6_r1_mxu_r1_sonnet.452f1fdc,claude-sonnet-4-6,results_jsonl,4.822249,4.618176,0.9577,25894,365316
atlas-npu_b5_r1_mxu_r3_sonnet.fef35dfa,claude-sonnet-4-6,results_jsonl,2.775315,2.660607,0.9587,25878,246105
,claude-opus-4-6,results_jsonl,0.607574,0.583475,0.9603,0,19279
gemmini_b2r_r2_whole_r1_sonnet.fb38e0f4,claude-sonnet-4-6,results_jsonl,3.754926,3.607725,0.9608,38853,336139
aetrun_f17d7ef86d52_450ab4_002,claude-sonnet-4-6,aet_run,0.221509,0.212955,0.9614,12943,58000
atlas-npu_b2r_r1_mxu_r1_opus.2d833e6b,claude-opus-4-6,results_jsonl,1.605903,1.544755,0.9619,7254,75033
,claude-haiku-4-5-20251001,results_jsonl,0.128925,0.124054,0.9622,0,19485
atlas-npu_b7_r1_mxu_r1_sonnet.bff1e8b3,claude-sonnet-4-6,results_jsonl,3.969195,3.821031,0.9627,25894,290770
aetrun_834b6267e8c7_450ab4_006,claude-sonnet-4-6,aet_run,0.21963,0.211452,0.9628,12943,57499
aetrun_be62faa12b8d_017,claude-sonnet-4-6,aet_run,0.218841,0.21081,0.9633,12939,57289
aetrun_1898a5fc26fa_5bcd68_007,claude-opus-4-6,aet_run,0.37037,0.35784,0.9662,13370,58156
aetrun_9919af58de5b_5bcd68_008,claude-opus-4-6,aet_run,0.367845,0.355825,0.9673,13370,57748
atlas-npu_b4_r1_mxu_r3_sonnet.906150f4,claude-sonnet-4-6,results_jsonl,2.990341,2.895093,0.9681,25886,220187
,claude-opus-4-6,results_jsonl,0.80622,0.781705,0.9696,0,19612
aetrun_546d309f9d99_5bcd68_003,claude-opus-4-6,aet_run,0.362339,0.351415,0.9699,13370,56871
aetrun_4d454338b2e0_5bcd68_004,claude-opus-4-6,aet_run,0.36212,0.35124,0.97,13370,56836
,claude-opus-4-6,results_jsonl,0.93239,0.904845,0.9705,0,22036
,claude-opus-4-6,results_jsonl,0.979496,0.95102,0.9709,0,22781
atlas-npu_b2r_r1_mxu_r2_opus.b8764446,claude-opus-4-6,results_jsonl,5.08764,4.945855,0.9721,40110,257824
aetrun_91c97d0fcfa6_450ab4_003,claude-sonnet-4-6,aet_run,0.202904,0.198093,0.9763,12951,53038
aetrun_d395076896e3_450ab4_002,claude-sonnet-4-6,aet_run,0.202848,0.198048,0.9763,12951,53023
atlas-npu_b7_r1_mxu_r1_sonnet.bff1e8b3,claude-sonnet-4-6,results_jsonl,1.548957,1.512285,0.9763,12939,95476
,claude-opus-4-6,results_jsonl,1.030673,1.00621,0.9763,0,19570
,claude-sonnet-4-6,results_jsonl,1.682096,1.642491,0.9765,0,52807
aetrun_1365826283a4_450ab4_004,claude-sonnet-4-6,aet_run,0.200815,0.196422,0.9781,12951,52481
