run_id,source,model,fresh_input_tokens,cache_read_tokens,cache_creation_tokens,cache_unsplit_tokens,billed_input_tokens,cache_share
aetrun_9bc96e126f4b_005,aet_run,claude-sonnet-4-6,8,108357,63427,0,171792,0.9999534320573717
aetrun_8fad1903abf4_450ab4_006,aet_run,claude-sonnet-4-6,8,12947,158871,0,171826,0.9999534412719845
aetrun_9bc96e126f4b_004,aet_run,claude-sonnet-4-6,8,67142,104955,0,172105,0.9999535167484965
aetrun_22653eccb894_450ab4_001,aet_run,claude-sonnet-4-6,8,0,172222,0,172230,0.9999535504848168
aetrun_9bc96e126f4b_006,aet_run,claude-sonnet-4-6,8,54154,119210,0,173372,0.9999538564474079
aetrun_48f0057dc0a7_014,aet_run,claude-sonnet-4-6,5,12939,95476,0,108420,0.9999538830474082
aetrun_4be540c16e94_013,aet_run,claude-sonnet-4-6,5,25878,82537,0,108420,0.9999538830474082
aetrun_6dcf9b7f4648_450ab4_001,aet_run,claude-sonnet-4-6,5,0,108475,0,108480,0.9999539085545722
aetrun_6dcf9b7f4648_450ab4_002,aet_run,claude-sonnet-4-6,5,0,108475,0,108480,0.9999539085545722
aetrun_22653eccb894_450ab4_005,aet_run,claude-sonnet-4-6,8,12943,162688,0,175639,0.9999544520294468
aetrun_1e41392b737d_008,aet_run,claude-sonnet-4-6,8,54183,124287,0,178478,0.9999551765483701
aetrun_b6f732cb9e88_450ab4_007,aet_run,claude-sonnet-4-6,6,12947,131899,0,144852,0.9999585784110678
aetrun_d5461faee031_450ab4_005,aet_run,claude-sonnet-4-6,9,12947,215389,0,228345,0.9999605859554621
aetrun_0517b42d684b_450ab4_004,aet_run,claude-sonnet-4-6,11,0,299730,0,299741,0.9999633016504249
aetrun_73100a6dee26_002,aet_run,claude-opus-4-8,4,0,0,111343,111347,0.9999640762660871
aetrun_861e166bc2e6_004,aet_run,claude-opus-4-8,4,0,0,113809,113813,0.9999648546299632
aetrun_1365826283a4_450ab4_004,aet_run,claude-sonnet-4-6,2,12951,52481,0,65434,0.9999694348503836
aetrun_d395076896e3_450ab4_002,aet_run,claude-sonnet-4-6,2,12951,53023,0,65976,0.9999696859464048
aetrun_91c97d0fcfa6_450ab4_003,aet_run,claude-sonnet-4-6,2,12951,53038,0,65991,0.999969692836902
aetrun_4ce923d5517d_011,aet_run,claude-sonnet-4-6,8,245589,20383,0,265980,0.9999699225505677
aetrun_4ce923d5517d_012,aet_run,claude-sonnet-4-6,8,25878,246105,0,271991,0.9999705872620785
aetrun_4d454338b2e0_5bcd68_004,aet_run,claude-opus-4-6,2,13370,56836,0,70208,0.9999715132178669
aetrun_be62faa12b8d_017,aet_run,claude-sonnet-4-6,2,12939,57289,0,70230,0.999971522141535
aetrun_546d309f9d99_5bcd68_003,aet_run,claude-opus-4-6,2,13370,56871,0,70243,0.9999715274119841
aetrun_834b6267e8c7_450ab4_006,aet_run,claude-sonnet-4-6,2,12943,57499,0,70444,0.9999716086536824
aetrun_3f86a142abd9_015,aet_run,claude-sonnet-4-6,2,0,70795,0,70797,0.9999717502154046
aetrun_f17d7ef86d52_450ab4_002,aet_run,claude-sonnet-4-6,2,12943,58000,0,70945,0.9999718091479315
aetrun_32d9d90d5156_016,aet_run,claude-sonnet-4-6,2,0,71002,0,71004,0.9999718325728127
aetrun_35aaede5dbfc_450ab4_001,aet_run,claude-sonnet-4-6,5,0,177597,0,177602,0.9999718471638833
aetrun_9919af58de5b_5bcd68_008,aet_run,claude-opus-4-6,2,13370,57748,0,71120,0.9999718785151857
aetrun_1898a5fc26fa_5bcd68_007,aet_run,claude-opus-4-6,2,13370,58156,0,71528,0.9999720389218208
aetrun_06979ef0fea7_018,aet_run,claude-sonnet-4-6,2,0,71564,0,71566,0.9999720537685494
aetrun_8c489619e405_003,aet_run,claude-sonnet-4-6,8,0,290696,0,290704,0.9999724805988222
aetrun_7272d0598bf9_5bcd68_010,aet_run,claude-opus-4-6,2,0,72798,0,72800,0.9999725274725275
aetrun_7b481c90229a_5bcd68_002,aet_run,claude-opus-4-6,2,0,72913,0,72915,0.9999725708016183
aetrun_6758d4402508_5bcd68_006,aet_run,claude-opus-4-6,2,0,72979,0,72981,0.9999725956070759
aetrun_4ce923d5517d_010,aet_run,claude-sonnet-4-6,5,12939,170048,0,182992,0.9999726764011542
aetrun_37422f49724e_007,aet_run,claude-opus-4-8,2,13192,66053,0,79247,0.9999747624515755
aetrun_514f6e2ceebb_008,aet_run,claude-opus-4-8,2,13190,66746,0,79938,0.9999749806099727
aetrun_32e740606bdc_002,aet_run,claude-opus-4-8,2,13192,66850,0,80044,0.9999750137424417
aetrun_c4e99b4c1fb1_009,aet_run,claude-opus-4-8,2,13190,66951,0,80143,0.9999750446077637
aetrun_2f940c935692_006,aet_run,claude-opus-4-8,4,92189,68298,0,160491,0.9999750764840396
aetrun_c4ccb545debf_001,aet_run,claude-opus-4-8,2,0,0,81271,81273,0.99997539158146
aetrun_d2a845dfd1ac_003,aet_run,claude-opus-4-8,2,0,0,81662,81664,0.9999755094043887
aetrun_e5243c6ac9e7_005,aet_run,claude-opus-4-8,2,13192,69051,0,82245,0.9999756824123047
aetrun_8c489619e405_001,aet_run,claude-opus-4-6,2,0,82287,0,82289,0.99997569541494
aetrun_8c489619e405_001,aet_run,claude-opus-4-6,2,7254,75033,0,82289,0.99997569541494
